src_ip,Label,distinct_sources,days_seen,total_incidents,unique_dst_ip,src_port_zero_count,src_port_nonzero_count,src_port_zero_avg_inter_arrival_time,src_port_zero_min_inter_arrival_time,src_port_zero_max_inter_arrival_time,src_port_zero_stddev_inter_arrival_time,src_port_nonzero_avg_inter_arrival_time,src_port_nonzero_min_inter_arrival_time,src_port_nonzero_max_inter_arrival_time,src_port_nonzero_stddev_inter_arrival_time
94.23.45.103,Spoofed,2,4,1973,6,1968,5,163.2125064,0.0,48389.0,1401.534932,36746.25,403.0,75844.0,36242.54657
195.52.130.77,Spoofed,2,4,28,7,22,6,13807.33333,0.0,116844.0,28302.71663,14561.6,807.0,59593.0,22588.68936
185.220.101.54,Spoofed,2,5,2436,6,2432,4,132.123406,0.0,48083.0,1257.826373,82892.66667,568.0,214562.0,94072.77362
92.246.138.145,Spoofed,2,4,2093,5,2091,2,153.7339713,0.0,47967.0,1354.602199,153776.0,153776.0,153776.0,0.0
91.227.77.29,Spoofed,2,4,1651,5,1648,3,195.2270795,0.0,48538.0,1537.732473,34903.0,2209.0,67597.0,32694.0
185.241.208.206,Real,1,1,1,1,0,1,,,,,,,,
66.183.173.29,Spoofed,2,4,1084,6,1079,5,298.0398887,0.0,49107.0,1912.877631,37411.5,8397.0,95573.0,34299.22032
199.195.249.214,Spoofed,2,5,1630,7,1621,9,198.4179012,0.0,47893.0,1538.233335,47160.75,191.0,183677.0,66905.14555
185.220.101.77,Spoofed,2,5,2385,6,2379,6,135.2106812,0.0,49139.0,1291.289728,41406.8,165.0,183798.0,71350.29416
91.227.77.234,Spoofed,2,4,1623,4,1622,1,197.9716225,0.0,47889.0,1535.341583,,,,
45.82.122.254,Spoofed,2,5,1169,6,1162,7,276.5452196,0.0,48111.0,1814.961671,43496.16667,922.0,177567.0,62619.10112
176.123.7.172,Spoofed,2,4,1014,6,1008,6,319.2949355,0.0,48255.0,1966.180926,23763.8,125.0,76575.0,27432.98792
74.207.253.212,Spoofed,2,4,1449,7,1443,6,222.7524272,0.0,48165.0,1633.475679,14804.0,557.0,38024.0,14180.70956
151.145.83.156,Spoofed,2,5,787,6,783,4,410.898977,0.0,48341.0,2224.219316,85766.0,12965.0,213481.0,90602.89587
51.15.52.16,Spoofed,2,4,817,6,811,6,396.0098765,0.0,48999.0,2218.197353,12354.2,401.0,52138.0,20009.07258
188.154.6.144,Spoofed,2,4,1027,5,1025,2,313.7207031,0.0,48847.0,1954.49999,132078.0,132078.0,132078.0,0.0
162.247.74.7,Spoofed,2,4,2031,5,2029,2,158.0488166,0.0,48219.0,1377.207092,60003.0,60003.0,60003.0,0.0
185.148.1.15,Spoofed,2,4,1044,4,1043,1,308.4088292,0.0,48425.0,1921.383728,,,,
199.195.251.148,Spoofed,2,4,1524,5,1522,2,211.105194,0.0,48693.0,1601.205345,72338.0,72338.0,72338.0,0.0
37.233.101.55,Spoofed,2,5,1092,7,1088,4,295.6872125,0.0,48424.0,1895.221384,110189.0,75939.0,178568.0,48351.27982
130.61.142.133,Spoofed,2,4,790,4,788,2,408.0165184,0.0,47972.0,2215.679656,47517.0,47517.0,47517.0,0.0
188.253.7.106,Spoofed,2,5,1077,5,1070,7,300.1618335,0.0,49564.0,1930.180788,55118.16667,1.0,195829.0,71945.03027
5.75.230.210,Spoofed,2,6,815,7,772,43,416.3216602,0.0,48284.0,2241.53377,12511.04762,0.0,179834.0,39882.51474
93.245.220.14,Spoofed,2,5,37,7,30,7,10504.41379,0.0,81326.0,19421.43576,56822.66667,750.0,239968.0,86694.85632
142.93.169.197,Spoofed,2,5,1133,5,1125,8,285.8674377,0.0,48599.0,1861.62579,48431.14286,13.0,213258.0,72076.19322
93.93.118.87,Spoofed,2,5,884,4,883,1,364.244898,0.0,49285.0,2114.842631,,,,
193.228.199.148,Spoofed,2,4,1579,7,1574,5,204.3725366,0.0,48459.0,1573.209917,16708.0,9043.0,26362.0,6223.90886
110.164.149.230,Real,1,1,1,1,0,1,,,,,,,,
23.129.64.216,Spoofed,2,5,1588,6,1581,7,203.2234177,0.0,48340.0,1560.017693,60905.83333,30.0,175075.0,71915.51736
47.103.36.53,Real,1,1,1,1,0,1,,,,,,,,
144.24.176.131,Spoofed,2,5,861,5,858,3,375.1726954,0.0,50179.0,2173.426777,120581.5,44285.0,196878.0,76296.5
173.212.231.228,Spoofed,2,5,918,7,911,7,353.0483516,0.0,48203.0,2068.009904,57878.33333,123.0,194639.0,67561.92933
128.127.180.156,Spoofed,2,4,3212,6,3208,4,100.1796071,0.0,48161.0,1098.568216,38207.33333,9907.0,89532.0,36355.88077
192.18.144.19,Spoofed,2,5,1977,6,1973,4,162.9827586,0.0,48530.0,1402.244823,114864.0,4417.0,185323.0,79082.34239
185.244.194.161,Spoofed,2,5,1684,6,1677,7,191.75,0.0,48629.0,1527.140549,42229.5,7.0,177964.0,65855.90832
88.89.93.173,Spoofed,2,5,1038,6,1035,3,310.7272727,0.0,48843.0,1942.157139,163524.0,155542.0,171506.0,7982.0
172.234.230.154,Spoofed,2,5,916,6,912,4,352.1624588,0.0,48423.0,2065.597716,82291.0,24120.0,190146.0,76343.66623
45.94.31.68,Spoofed,1,1,1,1,0,1,,,,,,,,
52.214.94.163,Spoofed,2,5,1612,7,1603,9,200.551186,0.0,48693.0,1557.066214,32751.625,39.0,188438.0,60188.19019
185.220.101.14,Spoofed,2,5,1548,6,1542,6,208.5528877,0.0,49865.0,1612.428619,69100.2,1947.0,182791.0,66620.06878
192.129.10.18,Spoofed,2,5,988,5,986,2,326.315736,0.0,49204.0,2009.703101,10285.0,10285.0,10285.0,0.0
204.8.96.108,Spoofed,2,4,2822,6,2817,5,114.1260653,0.0,48003.0,1167.158967,18277.5,5617.0,46359.0,16399.71473
209.127.3.50,Spoofed,2,4,1050,5,1047,3,307.3527725,0.0,47922.0,1907.406136,13795.5,9154.0,18437.0,4641.5
185.137.172.8,Spoofed,2,5,38,5,35,3,8878.264706,0.0,73227.0,16598.29592,114449.0,15867.0,213031.0,98582.0
144.91.125.15,Spoofed,2,5,922,5,917,5,350.7368996,0.0,47964.0,2053.829326,85129.0,2118.0,233930.0,92361.23617
185.185.51.29,Spoofed,2,4,1197,6,1191,6,269.587395,0.0,48087.0,1792.522133,30329.4,4439.0,76705.0,24701.55758
45.84.107.42,Spoofed,2,4,27,5,25,2,12118.91667,0.0,80030.0,22424.0871,151852.0,151852.0,151852.0,0.0
23.134.136.5,Spoofed,2,5,1103,4,1099,4,292.78051,0.0,48039.0,1864.006938,86003.66667,888.0,213443.0,91790.98204
94.16.106.124,Spoofed,2,5,926,6,921,5,349.2206522,0.0,48926.0,2081.49978,83427.25,166.0,171847.0,60941.15275
109.205.195.225,Spoofed,2,5,1072,7,1069,3,300.5636704,0.0,49497.0,1933.815821,111085.5,10288.0,211883.0,100797.5
212.132.89.150,Spoofed,2,5,1087,5,1083,4,297.1109057,0.0,48045.0,1890.252002,83892.33333,13429.0,176465.0,68370.56525
93.177.65.182,Spoofed,2,5,884,6,877,7,366.7100457,0.0,48206.0,2089.47471,57453.66667,1379.0,243101.0,88325.41939
23.129.64.137,Spoofed,2,4,1599,5,1594,5,201.6365348,0.0,47966.0,1545.745133,17828.5,59.0,39895.0,15496.45878
45.125.65.45,Spoofed,2,4,1071,6,1067,4,301.554409,0.0,48814.0,1919.453007,52982.66667,34476.0,84895.0,22661.31527
104.238.221.93,Spoofed,2,5,33,7,27,6,11390.42308,219.0,87416.0,21729.62133,66215.4,2929.0,215547.0,79299.15105
91.107.255.3,Spoofed,2,5,45,7,11,34,28615.7,151.0,106195.0,32330.97259,13338.45455,0.0,433188.0,74220.71627
95.99.30.188,Spoofed,2,5,1012,5,1009,3,318.922619,0.0,48202.0,1956.802807,100482.5,3496.0,197469.0,96986.5
212.47.68.217,Spoofed,2,4,927,5,925,2,347.8084416,0.0,48940.0,2070.071996,27767.0,27767.0,27767.0,0.0
188.68.41.54,Spoofed,2,5,1662,7,1657,5,193.8266908,0.0,48724.0,1534.92221,84030.75,735.0,224525.0,92563.22714
185.220.101.110,Real,1,2,2,2,0,2,,,,,169386.0,169386.0,169386.0,0.0
144.76.194.67,Spoofed,2,6,64,7,12,52,25793.63636,416.0,137803.0,39998.71981,10194.03922,0.0,183875.0,37241.45617
2.59.28.196,Spoofed,2,5,1037,7,1026,11,313.3482927,0.0,50163.0,1988.42567,24199.6,35.0,176711.0,51745.87869
138.246.18.152,Spoofed,2,5,34,7,24,10,9279.695652,0.0,80003.0,18093.11139,37162.0,181.0,218944.0,68258.18801
109.120.157.137,Spoofed,2,4,1074,7,1069,5,300.6310861,0.0,48446.0,1909.158852,39861.5,6655.0,132856.0,53716.05558
192.124.216.119,Spoofed,2,4,1102,6,1099,3,292.287796,0.0,48191.0,1869.865263,37321.0,17495.0,57147.0,19826.0
134.209.146.78,Real,1,1,1,1,0,1,,,,,,,,
204.8.96.151,Spoofed,2,4,2762,6,2757,5,116.6146589,0.0,47890.0,1180.848866,12653.0,1061.0,25747.0,10481.82358
164.30.73.106,Spoofed,2,5,1057,5,1051,6,305.7590476,0.0,48286.0,1911.631737,68955.2,1464.0,187421.0,81219.12896
45.76.2.145,Spoofed,2,4,988,6,985,3,326.574187,0.0,48045.0,1983.672966,34585.5,717.0,68454.0,33868.5
193.11.164.243,Spoofed,2,5,2002,5,1998,4,160.8557837,0.0,48742.0,1398.1828,87144.33333,1416.0,249669.0,114980.1305
143.47.34.118,Spoofed,2,4,1038,6,1034,4,310.9448209,0.0,49876.0,1976.071348,25074.66667,6322.0,35641.0,13295.68803
38.242.234.161,Spoofed,2,5,1562,7,1554,8,206.5640695,0.0,49102.0,1592.955618,37159.42857,234.0,185669.0,61995.88891
45.136.28.24,Spoofed,2,5,1078,6,1074,4,299.5852749,0.0,48076.0,1897.012885,108068.0,756.0,209685.0,85389.9156
162.247.72.192,Spoofed,2,4,1957,5,1954,3,164.467998,0.0,48448.0,1407.239375,40830.0,2280.0,79380.0,38550.0
107.189.28.124,Spoofed,2,4,1888,4,1887,1,170.2735949,0.0,49312.0,1447.459816,,,,
81.237.181.119,Spoofed,2,4,32,6,28,4,10810.92593,0.0,91066.0,19782.82024,16061.0,6052.0,28099.0,9114.281211
92.243.0.179,Spoofed,2,5,1093,6,1089,4,295.5597426,0.0,48530.0,1880.731288,108435.6667,23714.0,176334.0,63432.29729
51.81.245.149,Spoofed,2,4,1920,7,1913,7,168.126569,0.0,48777.0,1436.19725,20172.0,2336.0,75373.0,25860.66297
87.236.199.239,Spoofed,2,4,1098,7,1091,7,293.2256881,0.0,48823.0,1888.635837,12630.33333,0.0,45921.0,16783.34572
60.241.48.194,Spoofed,2,5,1010,5,1006,4,319.9283582,0.0,48331.0,1961.780446,84931.66667,25841.0,182205.0,69310.23084
92.35.64.208,Spoofed,2,4,1091,6,1087,4,295.572744,0.0,48294.0,1898.731068,17500.33333,787.0,26521.0,11830.5404
154.12.162.249,Spoofed,2,4,1653,5,1650,3,194.844148,0.0,48123.0,1530.912615,80740.5,3267.0,158214.0,77473.5
89.34.18.151,Spoofed,2,5,1063,6,1058,5,303.8770104,0.0,49138.0,1937.764074,85431.5,3340.0,192770.0,77612.02194
92.205.108.158,Spoofed,2,5,1039,7,1030,9,312.4295432,0.0,48000.0,1937.535038,32326.5,126.0,183507.0,60526.27785
47.239.227.173,Real,1,1,1,1,0,1,,,,,,,,
37.114.55.122,Spoofed,2,5,36,6,29,7,10208.60714,0.0,118823.0,24171.54129,57706.66667,484.0,183834.0,64830.94735
92.205.17.128,Spoofed,2,5,1055,6,1049,6,306.403626,0.0,48042.0,1943.641792,69261.8,200.0,180611.0,80457.86755
37.46.117.90,Spoofed,2,4,19,4,18,1,17328.70588,0.0,87488.0,25149.90898,,,,
88.80.26.2,Spoofed,2,5,31,6,26,5,8884.72,102.0,111444.0,22317.83329,83911.25,2668.0,178221.0,78789.95116
20.214.181.125,Spoofed,2,4,38,4,37,1,8104.583333,0.0,76382.0,20285.2966,,,,
129.151.206.128,Spoofed,2,4,18,5,16,2,18704.4,0.0,75900.0,25115.18556,66297.0,66297.0,66297.0,0.0
192.42.116.183,Spoofed,2,4,1889,6,1885,4,170.2611465,0.0,48183.0,1436.221239,51208.0,22948.0,86951.0,26659.48823
50.116.51.101,Spoofed,2,5,1308,6,1303,5,246.5990783,0.0,48250.0,1719.491679,64584.25,6962.0,182977.0,69290.84325
194.15.113.118,Spoofed,2,5,2104,6,2098,6,153.1506915,0.0,48777.0,1369.175709,49377.2,149.0,230938.0,90848.82711
185.220.101.50,Spoofed,2,5,2407,6,2401,6,133.7666667,0.0,50768.0,1310.150854,49751.0,1279.0,200848.0,75928.01045
46.166.165.116,Spoofed,2,4,1554,6,1551,3,207.3535484,0.0,48044.0,1575.902929,74049.0,3276.0,144822.0,70773.0
84.247.182.29,Spoofed,2,5,24,5,21,3,15558.1,0.0,125880.0,29274.00885,130255.5,74854.0,185657.0,55401.5
89.58.5.0,Spoofed,2,4,1044,6,1040,4,309.493744,0.0,48710.0,1928.085676,15446.0,3236.0,22715.0,8685.926203
45.94.31.26,Spoofed,1,1,2,1,0,2,,,,,336.0,336.0,336.0,0.0
82.207.213.79,Spoofed,1,1,2,2,0,2,,,,,4388.0,4388.0,4388.0,0.0
94.23.88.117,Spoofed,2,5,40,6,35,5,8408.823529,0.0,102637.0,20679.95388,64127.0,2040.0,221800.0,91476.36907
185.10.16.41,Spoofed,2,4,1072,6,1066,6,301.8892019,0.0,48285.0,1896.746916,29424.0,18.0,79920.0,29430.1019
149.28.212.142,Spoofed,2,4,957,5,953,4,337.0430672,0.0,48036.0,2005.909057,63327.0,83.0,117817.0,48461.65547
95.216.20.80,Spoofed,2,6,831,7,791,40,406.8291139,0.0,49899.0,2266.001907,13530.79487,0.0,212136.0,45248.63899
95.81.21.35,Spoofed,2,4,21,7,17,4,18357.5,0.0,103101.0,26739.51161,43677.33333,12913.0,85917.0,30888.60049
